Heading 1,Heading 2,Heading 3,Paragraph
,External links,Decentralization,"Unsupervised learning finds patterns in a stream of input. Supervised learning requires a human to label the input data first, and comes in two main varieties: classification and numerical regression. Classification is used to determine what category something belongs in—the program sees a number of examples of things from several categories and will learn to classify new inputs. Regression is the attempt to produce a function that describes the relationship between inputs and outputs and predicts how the outputs should change as the inputs change. Both classifiers and regression learners can be viewed as ""function approximators"" trying to learn an unknown (possibly implicit) function; for example, a spam classifier can be viewed as learning a function that maps from the text of an email to one of two categories, ""spam"" or ""not spam"".[71]In reinforcement learning the agent is rewarded for good responses and punished for bad ones. The agent classifies its responses to form a strategy for operating in its problem space.[72]Transfer learning is when the knowledge gained from one problem is applied to a new problem.[73]"
,Navigation menu,Openness,"Computational learning theory can assess learners by computational complexity, by sample complexity (how much data is required), or by other notions of optimization.[74]"
,Contents,Standardisation,"Natural language processing (NLP)[75]allows machines to read and understand human language. A sufficiently powerful natural language processing system would enable natural-language user interfaces and the acquisition of knowledge directly from human-written sources, such as newswire texts. Some straightforward applications of NLP include information retrieval, question answering and machine translation.[76]"
,History[edit],Public blockchains,"Symbolic AI used formal syntax to translate the deep structure of sentences into logic. This failed to produce useful applications, due to the intractability of logic[49] and the breadth of commonsense knowledge.[58] Modern statistical techniques include co-occurrence frequencies (how often one word appears near another), ""Keyword spotting"" (searching for a particular word to retrieve information), transformer-based deep learning (which finds patterns in text), and others.[77] They have achieved acceptable accuracy at the page or paragraph level, and, by 2019, could generate coherent text.[78]"
,Applications[edit],Private blockchains,"Machine perception[79]is the ability to use input from sensors (such as cameras, microphones, wireless signals, and active lidar, sonar, radar, and tactile sensors) to deduce aspects of the world. Applications include speech recognition,[80]facial recognition, and object recognition.[81]"
,Trends and characteristics[edit],Hybrid blockchains,Computer vision is the ability to analyze visual input.[82]
,Enabling technologies for IoT[edit],Sidechains,"AI is heavily used in robotics.[83]Localization is how a robot knows its location and maps its environment. When given a small, static, and visible environment, this is easy; however, dynamic environments, such as (in endoscopy) the interior of a patient's breathing body, pose a greater challenge.[84]"
,Politics and civic engagement[edit],Cryptocurrencies,"Motion planning is the process of breaking down a movement task into ""primitives"" such as individual joint movements. Such movement often involves compliant motion, a process where movement requires maintaining physical contact with an object. Robots can learn from experience how to move efficiently despite the presence of friction and gear slippage.[85]"
,Government regulation on IoT[edit],Smart contracts,"Affective computing is an interdisciplinary umbrella that comprises systems that recognize, interpret, process or simulate human feeling, emotion and mood.[87] For example, some virtual assistants are programmed to speak conversationally or even to banter humorously; it makes them appear more sensitive to the emotional dynamics of human interaction, or to otherwise facilitate human–computer interaction.However, this tends to give naïve users an unrealistic conception of how intelligent existing computer agents actually are.[88]"
,"Criticism, problems and controversies[edit]",Financial services,"Moderate successes related to affective computing include textual sentiment analysis and, more recently, multimodal sentiment analysis), wherein AI classifies the affects displayed by a videotaped subject.[89]"
,IoT adoption barriers[edit],Games,"A machine with general intelligence can solve a wide variety of problems with breadth and versatility similar to human intelligence. There are several competing ideas about how to develop artificial general intelligence. Hans Moravec and Marvin Minsky argue that work in different individual domains can be incorporated into an advanced multi-agent system or cognitive architecture with general intelligence.[90]Pedro Domingos hopes that there is a conceptually straightforward, but mathematically difficult, ""master algorithm"" that could lead to AGI.[91]Others believe that anthropomorphic features like an artificial brain[92]or simulated child development[m]will someday reach a critical point where general intelligence emerges."
,See also[edit],Supply chain,"Many problems in AI can be solved theoretically by intelligently searching through many possible solutions:[93]Reasoning can be reduced to performing a search. For example, logical proof can be viewed as searching for a path that leads from premises to conclusions, where each step is the application of an inference rule.[94]Planning algorithms search through trees of goals and subgoals, attempting to find a path to a target goal, a process called means-ends analysis.[95]Robotics algorithms for moving limbs and grasping objects use local searches in configuration space.[96]"
,References[edit],Domain names,"Simple exhaustive searches[97]are rarely sufficient for most real-world problems: the search space (the number of places to search) quickly grows to astronomical numbers. The result is a search that is too slow or never completes. The solution, for many problems, is to use ""heuristics"" or ""rules of thumb"" that prioritize choices in favor of those more likely to reach a goal and to do so in a shorter number of steps. In some search methodologies, heuristics can also serve to eliminate some choices unlikely to lead to a goal (called ""pruning the search tree""). Heuristics supply the program with a ""best guess"" for the path on which the solution lies.[98]Heuristics limit the search for solutions into a smaller sample size.[99]"
,Bibliography[edit],Other uses,"A very different kind of search came to prominence in the 1990s, based on the mathematical theory of optimization. For many problems, it is possible to begin the search with some form of a guess and then refine the guess incrementally until no more refinements can be made. These algorithms can be visualized as blind hill climbing: we begin the search at a random point on the landscape, and then, by jumps or steps, we keep moving our guess uphill, until we reach the top. Other related optimization algorithms include random optimization, beam search and metaheuristics like simulated annealing.[100]Evolutionary computation uses a form of optimization search. For example, they may begin with a population of organisms (the guesses) and then allow them to mutate and recombine, selecting only the fittest to survive each generation (refining the guesses). Classic evolutionary algorithms include genetic algorithms, gene expression programming, and genetic programming.[101]Alternatively, distributed search processes can coordinate via swarm intelligence algorithms. Two popular swarm algorithms used in search are particle swarm optimization (inspired by bird flocking) and ant colony optimization (inspired by ant trails).[102]"
,Navigation menu,Adoption decision,"Logic[103]is used for knowledge representation and problem-solving, but it can be applied to other problems as well. For example, the satplan algorithm uses logic for planning[104]and inductive logic programming is a method for learning.[105]"
,Contents,Collaboration,"Several different forms of logic are used in AI research. Propositional logic[106] involves truth functions such as ""or"" and ""not"". First-order logic[107]adds quantifiers and predicates and can express facts about objects, their properties, and their relations with each other. Fuzzy logic assigns a ""degree of truth"" (between 0 and 1) to vague statements such as ""Alice is old"" (or rich, or tall, or hungry), that are too linguistically imprecise to be completely true or false.[108]Default logics, non-monotonic logics and circumscription are forms of logic designed to help with default reasoning and the qualification problem.[57]Several extensions of logic have been designed to handle specific domains of knowledge, such as description logics;[53]situation calculus, event calculus and fluent calculus (for representing events and time);[54]causal calculus;[55]belief calculus (belief revision); and modal logics.[56]Logics to model contradictory or inconsistent statements arising in multi-agent systems have also been designed, such as paraconsistent logics.[citation needed]"
,Value proposition[edit],Blockchain and internal audit,"Many problems in AI (including in reasoning, planning, learning, perception, and robotics) require the agent to operate with incomplete or uncertain information. AI researchers have devised a number of tools to solve these problems using methods from probability theory and economics.[109]Bayesian networks[110]are a very general tool that can be used for various problems, including reasoning (using the Bayesian inference algorithm),[n][112]learning (using the expectation-maximization algorithm),[o][114]planning (using decision networks)[115] and perception (using dynamic Bayesian networks).[116]Probabilistic algorithms can also be used for filtering, prediction, smoothing and finding explanations for streams of data, helping perception systems to analyze processes that occur over time (e.g., hidden Markov models or Kalman filters).[116]"
,History[edit],Journals,"A key concept from the science of economics is ""utility"", a measure of how valuable something is to an intelligent agent. Precise mathematical tools have been developed that analyze how an agent can make choices and plan, using decision theory, decision analysis,[117]and information value theory.[118] These tools include models such as Markov decision processes,[119] dynamic decision networks,[116] game theory and mechanism design.[120]"
,Similar concepts[edit],Search,"The simplest AI applications can be divided into two types: classifiers (""if shiny then diamond"") and controllers (""if diamond then pick up""). Controllers do, however, also classify conditions before inferring actions, and therefore classification forms a central part of many AI systems. Classifiers are functions that use pattern matching to determine the closest match. They can be tuned according to examples, making them very attractive for use in AI. These examples are known as observations or patterns. In supervised learning, each pattern belongs to a certain predefined class. A class is a decision that has to be made. All the observations combined with their class labels are known as a data set. When a new observation is received, that observation is classified based on previous experience.[121]"
,Characteristics[edit],Consumer applications[edit],"A classifier can be trained in various ways; there are many statistical and machine learning approaches.The decision tree is the simplest and most widely used symbolic machine learning algorithm.[122]K-nearest neighbor algorithm was the most widely used analogical AI until the mid-1990s.[123]Kernel methods such as the support vector machine (SVM) displaced k-nearest neighbor in the 1990s.[124]The naive Bayes classifier is reportedly the ""most widely used learner""[125] at Google, due in part to its scalability.[126]Neural networks are also used for classification.[127]"
,Service models[edit],Organizational applications[edit],"Classifier performance depends greatly on the characteristics of the data to be classified, such as the dataset size, distribution of samples across classes, dimensionality, and the level of noise. Model-based classifiers perform well if the assumed model is an extremely good fit for the actual data. Otherwise, if no matching model is available, and if accuracy (rather than speed or scalability) is the sole concern, conventional wisdom is that discriminative classifiers (especially SVM) tend to be more accurate than model-based classifiers such as ""naive Bayes"" on most practical data sets.[128]"
,Deployment models[edit],Industrial applications[edit],"Neural networks[127]were inspired by the architecture of neurons in the human brain. A simple ""neuron"" N accepts input from other neurons, each of which, when activated (or ""fired""), casts a weighted ""vote"" for or against whether neuron N should itself activate. Learning requires an algorithm to adjust these weights based on the training data; one simple algorithm (dubbed ""fire together, wire together"") is to increase the weight between two connected neurons when the activation of one triggers the successful activation of another. Neurons have a continuous spectrum of activation; in addition, neurons can process inputs in a nonlinear way rather than weighing straightforward votes."
,Architecture[edit],Infrastructure applications[edit],"Modern neural networks model complex relationships between inputs and outputs and find patterns in data. They can learn continuous functions and even digital logical operations. Neural networks can be viewed as a type of mathematical optimization — they perform gradient descent on a multi-dimensional topology that was created by training the network. The most common training technique is the backpropagation algorithm.[129]Other learning techniques for neural networks are Hebbian learning (""fire together, wire together""), GMDH or competitive learning.[130]"
,Security and privacy[edit],Military applications[edit],"The main categories of networks are acyclic or feedforward neural networks (where the signal passes in only one direction) and recurrent neural networks (which allow feedback and short-term memories of previous input events). Among the most popular feedforward networks are perceptrons, multi-layer perceptrons and radial basis networks.[131]"
,Limitations and disadvantages[edit],Product digitalization[edit],"Deep learning[133]uses several layers of neurons between the network's inputs and outputs. The multiple layers can progressively extract higher-level features from the raw input. For example, in image processing, lower layers may identify edges, while higher layers may identify the concepts relevant to a human such as digits or letters or faces.[134] Deep learning has drastically improved the performance of programs in many important subfields of artificial intelligence, including computer vision, speech recognition, image classification[135] and others."
,Emerging trends[edit],Intelligence[edit],"Deep learning often uses convolutional neural networks for many or all of its layers. In a convolutional layer, each neuron receives input from only a restricted area of the previous layer called the neuron's receptive field. This can substantially reduce the number of weighted connections between neurons,[136] and creates a hierarchy similar to the organization of the animal visual cortex.[137]"
,Digital forensics in the cloud[edit],Architecture[edit],"In a recurrent neural network the signal will propagate through a layer more than once;[138] thus, an RNN is an example of deep learning.[139]RNNs can be trained by gradient descent,[140]however long-term gradients which are back-propagated can ""vanish"" (that is, they can tend to zero) or ""explode"" (that is, they can tend to infinity), known as the vanishing gradient problem.[141]The long short term memory (LSTM) technique can prevent this in most cases.[142]"
,See also[edit],Complexity[edit],"Specialized languages for artificial intelligence have been developed, such as Lisp, Prolog, TensorFlow and many others. Hardware developed for AI includes AI accelerators and neuromorphic computing."
,References[edit],Size considerations[edit],"AI is relevant to any intellectual task.[143]Modern artificial intelligence techniques are pervasive and are too numerous to list here.[144]Frequently, when a technique reaches mainstream use, it is no longer considered artificial intelligence; this phenomenon is described as the AI effect.[145]"
,Further reading[edit],Space considerations[edit],"In the 2010s, AI applications were at the heart of the most commercially successful areas of computing, and have become a ubiquitous feature of daily life. AI is used in search engines (such as Google Search),targeting online advertisements,[146][non-primary source needed]recommendation systems (offered by Netflix, YouTube or Amazon),driving internet traffic,[147][148]targeted advertising (AdSense, Facebook),virtual assistants (such as Siri or Alexa),[149]autonomous vehicles (including drones and self-driving cars),automatic language translation (Microsoft Translator, Google Translate),facial recognition (Apple's Face ID or Microsoft's DeepFace),image labeling (used by Facebook, Apple's iPhoto and TikTok)and spam filtering."
,External links[edit],"A solution to ""basket of remotes""[edit]","There are also thousands of successful AI applications used to solve problems for specific industries or institutions. A few examples are energy storage,[150]deepfakes,[151]medical diagnosis, military logistics, or supply chain management."
,Navigation menu,Social Internet of things[edit],"Game playing has been a test of AI's strength since the 1950s. Deep Blue became the first computer chess-playing system to beat a reigning world chess champion, Garry Kasparov, on 11 May 1997.[152] In 2011, in a Jeopardy! quiz show exhibition match, IBM's question answering system, Watson, defeated the two greatest Jeopardy! champions, Brad Rutter and Ken Jennings, by a significant margin.[153] In March 2016, AlphaGo won 4 out of 5 games of Go in a match with Go champion Lee Sedol, becoming the first computer Go-playing system to beat a professional Go player without handicaps.[154]Other programs handle imperfect-information games; such as for poker at a superhuman level, Pluribus[p]and Cepheus.[156]DeepMind in the 2010s developed a ""generalized artificial intelligence"" that could learn many diverse Atari games on its own.[157]"
,Contents,Addressability[edit],"By 2020, Natural Language Processing systems such as the enormous GPT-3 (then by far the largest artificial neural network) were matching human performance on pre-existing benchmarks, albeit without the system attaining a commonsense understanding of the contents of the benchmarks.[158]DeepMind's AlphaFold 2 (2020) demonstrated the ability to approximate, in hours rather than months, the 3D structure of a protein.[159]Other applications predict the result of judicial decisions,[160] create art (such as poetry or painting) and prove mathematical theorems."
,Places[edit],Application Layer[edit],"In 2019, WIPO reported that AI was the most prolific emerging technology in terms of number of patent applications and granted patents, the Internet of things was estimated to be the largest in terms of market size. It was followed, again in market size, by big data technologies, robotics, AI, 3D printing and the fifth generation of mobile services (5G).[161] Since AI emerged in the 1950s, 340000 AI-related patent applications were filed by innovators and 1.6 million scientific papers have been published by researchers, with the majority of all AI-related patent filings published since 2013. Companies represent 26 out of the top 30 AI patent applicants, with universities or public research organizations accounting for the remaining four.[162] The ratio of scientific papers to inventions has significantly decreased from 8:1 in 2010 to 3:1 in 2016, which is attributed to be indicative of a shift from theoretical research to the use of AI technologies in commercial products and services. Machine learning is the dominant AI technique disclosed in patents and is included in more than one-third of all identified inventions (134777 machine learning patents filed for a total of 167038 AI patents filed in 2016), with computer vision being the most popular functional application. AI-related patents not only disclose AI techniques and applications, they often also refer to an application field or industry. Twenty application fields were identified in 2016 and included, in order of magnitude: telecommunications (15 percent), transportation (15 percent), life and medical sciences (12 percent), and personal devices, computing and human–computer interaction (11 percent). Other sectors included banking, entertainment, security, industry and manufacturing, agriculture, and networks (including social networks, smart cities and the Internet of things). IBM has the largest portfolio of AI patents with 8,290 patent applications, followed by Microsoft with 5,930 patent applications.[162]"
,People[edit],Short-range wireless[edit],"Alan Turing wrote in 1950 ""I propose to consider the question 'can machines think'?""[163]He advised changing the question from whether a machine ""thinks"", to ""whether or not it is possible for machinery to show intelligent behaviour"".[164] The only thing visible is the behavior of the machine, so it does not matter if the machine is conscious, or has a mind, or whether the intelligence is merely a ""simulation"" and not ""the real thing"".  He noted that we also don't know these things about other people, but that we extend a ""polite convention"" that they are actually ""thinking"". This idea forms the basis of the Turing test.[165][q]"
,Art and entertainment[edit],Medium-range wireless[edit],"AI founder John McCarthy said: ""Artificial intelligence is not, by definition, simulation of human intelligence"".[167] Russell and Norvig agree and criticize the Turing test. They wrote: ""Aeronautical engineering texts do not define the goal of their field as 'making machines that fly so exactly like pigeons that they can fool other pigeons.'""[166] Other researchers and analysts disagree and have argued that AI should simulate natural intelligence by studying psychology or neurobiology.[r]"
,Military units[edit],Long-range wireless[edit],"The intelligent agent paradigm[169]defines intelligent behavior in general, without reference to human beings. An intelligent agent is a system that perceives its environment and takes actions that maximize its chances of success. Any system that has goal-directed behavior can be analyzed as an intelligent agent: something as simple as a thermostat, as complex as a human being, as well as large systems such as firms, biomes or nations. The intelligent agent paradigm became widely accepted during the 1990s, and currently serves as the definition of the field.[a]"
,Organizations[edit],Wired[edit],"The paradigm has other advantages for AI. It provides a reliable and scientific way to test programs; researchers can directly compare or even combine different approaches to isolated problems, by asking which agent is best at maximizing a given ""goal function"".  It also gives them a common language to communicate with other fields — such as mathematical optimization (which is defined in terms of ""goals"") or economics (which uses the same definition of a ""rational agent"").[170]"
,Transportation[edit],Standards and standards organizations[edit],"No established unifying theory or paradigm has guided AI research for most of its history.[s] The unprecedented success of statistical machine learning in the 2010s eclipsed all other approaches (so much so that some sources, especially in the business world, use the term ""artificial intelligence"" to mean ""machine learning with neural networks""). This approach is mostly sub-symbolic, neat, soft and narrow (see below). Critics argue that these questions may have to be revisited by future generations of AI researchers."
,Other uses[edit],Platform fragmentation[edit],"Symbolic AI (or ""GOFAI"")[172] simulated the high-level conscious reasoning that people use when they solve puzzles, express legal reasoning and do mathematics. They were highly successful at ""intelligent"" tasks such as algebra or IQ tests. In the 1960s, Newell and Simon proposed the physical symbol systems hypothesis: ""A physical symbol system has the necessary and sufficient means of general intelligent action.""[173]"
,See also[edit],"Privacy, autonomy, and control[edit]","However, the symbolic approach failed dismally on many tasks that humans solve easily, such as learning, recognizing an object or commonsense reasoning. Moravec's paradox is the discovery that high-level ""intelligent"" tasks were easy for AI, but low level ""instinctive"" tasks were extremely difficult.[174]Philosopher Hubert Dreyfus had argued since the 1960s that human expertise depends on unconscious instinct rather than conscious symbol manipulation, and on having a ""feel"" for the situation, rather than explicit symbolic knowledge.[175]Although his arguments had been ridiculed and ignored when they were first presented, eventually, AI research came to agree.[t][50]"
,Navigation menu,Data storage[edit],"The issue is not resolved: sub-symbolic reasoning can make many of the same inscrutable mistakes that human intuition does, such as algorithmic bias. Critics such as  Noam Chomsky argue continuing research into symbolic AI will still be necessary to attain general intelligence,[177][178] in part because sub-symbolic AI is a move away from explainable AI: it can be difficult or impossible to understand why a modern statistical AI program made a particular decision."
,Contents,Security[edit],"""Neats"" hope that intelligent behavior is described using simple, elegant principles (such as logic, optimization, or neural networks). ""Scruffies"" expect that it necessarily requires solving a large number of unrelated problems. This issue was actively discussed in the 70s and 80s,[179]but in the 1990s mathematical methods and solid scientific standards became the norm, a transition that Russell and Norvig termed ""the victory of the neats"".[180]"
,History[edit],Safety[edit],"Finding a provably correct or optimal solution is intractable for many important problems.[49] Soft computing is a set of techniques, including genetic algorithms, fuzzy logic and neural networks, that are tolerant of imprecision, uncertainty, partial truth and approximation. Soft computing was introduced in the late 80s and most successful AI programs in the 21st century are examples of soft computing with neural networks."
,Etymology[edit],Design[edit],"AI researchers are divided as to whether to pursue the goals of artificial general intelligence and superintelligence (general AI) directly or to solve as many specific problems as possible (narrow AI) in hopes these solutions will lead indirectly to the field's long-term goals[181][182]General intelligence is difficult to define and difficult to measure, and modern AI has had more verifiable successes by focussing on specific problems with specific solutions. The experimental sub-field of artificial general intelligence studies this area exclusively."
